code,name,generic_product_llm,model
3023260005100,Salakis Natur,Schafskäse in Salzlake,opus
3036810201280,Dijon Originale Senf,Dijon-Senf,opus
3038350015006,Panzani Spaghetti,Spaghetti,opus
3045140105502,Schokolade (Alpenmilch Schokolade),Alpenmilchschokolade,opus
3045140280902,Trauben-Nuss,Schokolade Trauben-Nuss,opus
3046920028721,Bitter Extra Kraftig,Bitterschokolade,opus
3046920042932,Haselnuss de Luxe Feinherb,Zartbitterschokolade mit Nuss,opus
3046920043489,Crème Brûlée,Vollmilchschokolade Crème Brûlée,opus
3047670000692,Camembert Cremig-Würzig,Camembert laktosefrei,opus
3057640257858,Eau minérale naturelle volcanique,Mineralwasser still,opus
3073781056358,Kiri Dippi,Frischkäse Dip,opus
3073781067057,Babybel® Mini Rolls,Mozzarella,opus
3073786863111,جبنة كيري بالقشطة,Frischkäse,opus
3083680009508,Kidney Bohnen,Kidneybohnen,opus
3083681040609,Chili Sin Carne,Chili sin Carne,opus
3090291386690,Caractere würzig&intensiv,Schnittkäse würzig laktosefrei,opus
3090291386744,Fol Epi Extra fines verführerischer Pfeffermix 50% Fett i. Tr.,Schnittkäse Pfeffer laktosefrei,opus
3161710000678,Camembert,Camembert laktosefrei,opus
3161710001316,Géramont Kräuter-leicht,Weichkäse Kräuter laktosefrei,opus
3161711001551,Géramont mit gerösteten Kürbiskernen,Weichkäse Kürbiskerne laktosefrei,opus
3161712985492,Tomate & feine Kräuter,Weichkäse Tomate Kräuter laktosefrei,opus
3161716092004,Géramont Le Snack,Weichkäse Snack laktosefrei,opus
3161716740011,Camembert mit Joghurt,Camembert mit Joghurt,opus
3161910238710,Camembert,Camembert,opus
3165950054019,Thunfisch & Knoblauch,Thunfisch Knoblauch,opus
3165950580860,Thunfisch-Salat Verschiedene Sorten,Thunfischsalat,opus
3165950580891,Thunfisch-Salat Cous Cous,Thunfischsalat Couscous,opus
3165957380012,Fisch Thunfisch Naturale ohne Öl,Thunfisch im eigenen Saft,opus
3176580107297,Camembert,Camembert laktosefrei,opus
3177890001770,Roquefort,Roquefort,opus
3178530402988,Zitronentörtchen,Zitronentörtchen,opus
3178530402995,Tartelettes,Tartelettes,opus
3178530403022,Tartelette chocolat caramel,Tartelettes Schokolade Karamell,opus
3179732353511,Natürliches Mineralwasser,Mineralwasser,opus
3222110008944,Le Brebiou des Pyrénées,Schafskäse weich laktosefrei,opus
3222110029994,Saint Albray,Weichkäse laktosefrei,opus
3228021000084,Meersalz Butter,Butter gesalzen,opus
3228024010134,Camembert L'Aromatique,Camembert würzig,opus
3272320012118,L'ortolan truffe,Weichkäse Trüffel,opus
3272320013450,Roucoulons noix,Weichkäse Walnuss,opus
3272770003148,Chavroux - 100% Ziegenmilch,Ziegenfrischkäse,opus
3272770088732,Chavroux Chives,Ziegenfrischkäse Kräuter,opus
3272770092326,Frischkäse Feine Kräuter,Frischkäse Kräuter,opus
3272770093484,"Bresso Traditionelle, Feine Kräuter",Frischkäse Kräuter,opus
3274080005003,Quellwasser,Quellwasser,opus
3304360000142,Rote Bete,Rote Bete,opus
3341504003935,Edler Blauschimmelkäse aus Frankreich,Blauschimmelkäse laktosefrei,opus
3365622044069,"Sardinen mit Zitrone, Thymian und Lorbeerblatt",Sardinen Zitrone Thymian,opus
3387390333008,"Kellogs, Cini Minis",Cerealien Zimt,opus
3449851328005,Stickado,Mini-Salami,opus
3449851353007,Stickado pikanto,Salami Sticks,opus
