llm_name,taxonomy_id,category
Brombeeren frisch,frisches-obst,obst-gemuese
Brombeerkonfitüre,fruchtaufstrich-mus,obst-gemuese
Brotaufstrich Champignon Shiitake,fruchtaufstrich-mus,obst-gemuese
Brotaufstrich Tomate Basilikum,fruchtaufstrich-mus,obst-gemuese
Brotaufstrich Toskana,fruchtaufstrich-mus,obst-gemuese
Brotchips Knoblauch,nuesse-knabbermischungen,obst-gemuese
Buchstabensuppe,suppen-eintoepfe,obst-gemuese
Bulgur-Linsen-Bowl,fertigsalate,obst-gemuese
Bulgursalat,bulgursalat,obst-gemuese
Butterbohnen,gemuesekonserven,obst-gemuese
Caesar Salat,fertigsalate,obst-gemuese
Cannellini-Bohnen,gemuesekonserven,obst-gemuese
Cashewmus,nuesse-knabbermischungen,obst-gemuese
Champignons,champignons,obst-gemuese
Champignons Dose,gemuesekonserven,obst-gemuese
Champignons Konserve,gemuesekonserven,obst-gemuese
Champignons Scheiben,champignons,obst-gemuese
Champignons Scheiben Dose,gemuesekonserven,obst-gemuese
Champignons Scheiben Konserve,gemuesekonserven,obst-gemuese
Champignons braun,champignons,obst-gemuese
Champignons frisch,champignons,obst-gemuese
Champignons geschnitten,champignons,obst-gemuese
Champignons geschnitten Konserve,gemuesekonserven,obst-gemuese
Champignons in Konserve,gemuesekonserven,obst-gemuese
Cherrytomaten,cherrytomaten,obst-gemuese
Chili sin Carne,suppen-eintoepfe,obst-gemuese
Chilischoten,frisches-gemuese,obst-gemuese
Chipotle in Adobo,eingelegtes-gemuese,obst-gemuese
Chutney Frucht,fruchtaufstrich-mus,obst-gemuese
Cornichons,cornichons,obst-gemuese
Cornichons Chili,cornichons,obst-gemuese
Cornichons bio,cornichons,obst-gemuese
Couscous Gemüse,fertigsalate,obst-gemuese
Couscoussalat,fertigsalate,obst-gemuese
Cranberries getrocknet,getrocknete-cranberries,obst-gemuese
Cranberries getrocknet gezuckert,getrocknete-cranberries,obst-gemuese
Currryketchup,curry-ketchup,obst-gemuese
Curry Ketchup,curry-ketchup,obst-gemuese
Curry Ketchup scharf,curry-ketchup,obst-gemuese
Curry-Ketchup,curry-ketchup,obst-gemuese
Curry-Ketchup scharf,curry-ketchup,obst-gemuese
Currygewürzketchup,curry-ketchup,obst-gemuese
Curryketchup,curry-ketchup,obst-gemuese
Datteln,datteln,obst-gemuese
Datteln Deglet Nour,datteln,obst-gemuese
Datteln entsteint,datteln,obst-gemuese
Datteln getrocknet,datteln,obst-gemuese
Datteln getrocknet entsteint,datteln,obst-gemuese
Datteltomaten,datteltomaten,obst-gemuese
Datterini Tomaten Dose,gehackte-tomaten,obst-gemuese
Datterini-Tomaten,datteltomaten,obst-gemuese
Dinkel-Quinoa-Salat vegan,fertigsalate,obst-gemuese
Eisbergsalat,eisbergsalat,obst-gemuese
Endiviensalat,frisches-gemuese,obst-gemuese
Energieballs Feige-Walnuss,fruchtriegel,obst-gemuese
Erbsen,erbsen,obst-gemuese
Erbsen Karotten Konserve,erbsen-und-moehren,obst-gemuese
Erbsen Konserve,erbsen,obst-gemuese
Erbsen Möhren,erbsen-und-moehren,obst-gemuese
Erbsen grün,erbsen,obst-gemuese
Erbsen grün getrocknet,erbsen,obst-gemuese
Erbsen jung,erbsen,obst-gemuese
Erbsen mit Karotten,erbsen-und-moehren,obst-gemuese
Erbsen mit Möhrchen,erbsen-und-moehren,obst-gemuese
Erbsen mit Möhren,erbsen-und-moehren,obst-gemuese
Erbsen und Karotten Konserve,erbsen-und-moehren,obst-gemuese
Erbsen und Möhren,erbsen-und-moehren,obst-gemuese
Erbsen und Möhren Konserve,erbsen-und-moehren,obst-gemuese
Erbseneintopf,erbseneintopf,obst-gemuese
Erbseneintopf vegetarisch,erbseneintopf,obst-gemuese
